Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
6/12/14,32186,9459673,49.272,"16,375,786",111761,134,644,78
6/13/14,20236,9479909,31.146,"16,406,932",111895,106,565,40
6/14/14,31432,9511341,63.83,"16,470,762",112001,106,2442,129
6/15/14,31029,9542370,65.14,"16,535,902",112107,142,2397,136
6/16/14,38568,9580938,66.964,"16,602,866",112249,200,1080,153
6/17/14,38963,9619901,66.789,"16,669,655",112449,173,978,124
6/18/14,38984,9658885,64.305,"16,733,960",112622,161,905,139
6/19/14,35327,9694212,58.66,"16,792,620",112783,113,812,92
6/20/14,38827,9733039,78.661,"16,871,281",112896,164,1439,117
6/21/14,33325,9766364,69.714,"16,940,995",113060,94,2951,149
6/22/14,32300,9798664,65.036,"17,006,031",113154,135,2532,107
6/23/14,36342,9835006,61.529,"17,067,560",113289,193,1024,167
6/24/14,39886,9874892,66.604,"17,134,164",113482,173,939,136
6/25/14,38035,9912927,60.763,"17,194,927",113655,129,868,137
6/26/14,38610,9951537,63.768,"17,258,695",113784,121,1051,109
6/27/14,39697,9991234,70.902,"17,329,597",113905,115,1573,147
6/28/14,31684,10022918,65.075,"17,394,672",114020,122,2679,125
6/29/14,30784,10053702,64.706,"17,459,378",114142,118,2450,125
6/30/14,36854,10090556,61.917,"17,521,295",114260,174,1044,120Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
7/1/14,37970,10128526,61.17,"17,582,465",114434,126,955,120
7/2/14,28765,10157291,44.192,"17,626,657",114560,160,688,92
7/3/14,30078,10187369,48.573,"17,675,230",114720,124,819,88
7/4/14,14850,10202219,27.905,"17,703,135",114844,48,1196,77
7/5/14,25116,10227335,55.725,"17,758,860",114892,86,2566,127
7/6/14,26615,10253950,65.358,"17,824,218",114978,114,2392,111
7/7/14,35075,10289025,59.834,"17,884,052",115092,195,905,160
7/8/14,35734,10324759,57.828,"17,941,880",115287,171,740,120
7/9/14,37588,10362347,60.912,"18,002,792",115446,159,879,127
7/10/14,39779,10402126,66.239,"18,069,031	",115605,159,1052,115
7/11/14,38416,10440542,65.516,"18,134,547",115711,106,1339,93
7/12/14,31413,10471955,63.664,"18,198,211",115810,99,2697,115
7/13/14,27089,10499044,50.105,"18,248,316",115914,104,1713,91
7/14/14,28173,10527217,43.222,"18,291,538",116026,112,637,93
7/15/14,24993,10552210,37.092,"18,328,630",116142,116,410,58
7/16/14,38610,10590820,63.616,"18,392,246",116245,103,959,116
7/17/14,41996,10632816,70.061,"18,462,307",116361,116,1114,110
7/18/14,39526,10672342,69.416,"18,531,723	",116472,111,1502,148
7/19/14,31943,10704285,64.395,"18,596,118",116551,79,2796,130
7/20/14,33156,10737441,68.542,"18,664,660",116669,118,2767,146
7/21/14,38963,10776404,64.824,"18,729,484",116812,143,1162,129
7/22/14,40450,10816854,67.081,"18,796,565",116969,157,992,127
7/23/14,37508,10854362,59.956,"18,856,521",117090,121,816,126
7/24/14,40419,10894781,67.584,"18,924,105",117229,139,1064,109
7/25/14,39768,10934549,68.652,"18,992,757",117340,111,1457,105
7/26/14,29882,10964431,59.645,"19,052,402",117427,87,2428,92
7/27/14,29669,10994100,58.193,"19,110,595",117530,103,2108,115
7/28/14,36360,11030460,59.567,"19,170,162	",117703,173,877,150
7/29/14,41198,11071658,68.064,"19,238,226",117930,227,1089,128
7/30/14,41207,11112865,68.127,"19,306,353",118075,145,1116,99
7/31/14,39282,11152147,65.414,"19,371,767",118204,129,1065,113
8/1/14,35829,11187976,59.202,"19,430,969",118314,110,1192,93
8/2/14,30013,11217989,60.544,"19,490,171",118408,94,2540,127
8/3/14,27854,11245843,55.867,"19,546,038",118555,147,2146,96
8/4/14,37408,11283251,63.737,"19,609,775",118704,149,1097,165
8/5/14,38168,11321419,63.957,"19,673,732",118830,126,1059,119
8/6/14,39942,11361361,66.342,"19,740,074",118938,108,1067,144
8/7/14,39933,11401294,67.398,"19,807,472",119047,109,1083,129
8/8/14,37367,11438661,64.33,"19,871,802",119137,90,1342,111
8/9/14,35701,11474362,81.003,"19,952,805",119244,107,3814,151
8/10/14,29339,11503701,61.287,"20,014,092",119351,107,2303,131
8/11/14,36837,11540538,61.708,"20,075,800",119495,144,1167,132
8/12/14,28591,11569129,41.88,"20,117,680",119584,89,526,90
8/13/14,30698,11599827,49.367,"20,167,047",119693,109,661,98
8/14/14,38863,11638690,67.924,"20,234,971",119789,96,1069,128
8/15/14,35524,11674214,60015,20294986,119869,80,1198,117
8/16/14,36127,11710341,83272,20378258,119962,93,4217,155
8/17/14,30223,11740564,61390,20439648,120069,107,2344,121
8/18/14,37851,11778415,64873,20504521,120227,158,1156,157
8/19/14,38912,11817327,65883,20570404,120356,129,965,140
8/20/14,39090,11856417,66900,20637304,120470,114,1057,110
8/21/14,36917,11893334,62373,20699677,120598,128,960,107
8/22/14,33147,11926481,54765,20754442,120688,90,863,81
8/23/14,28956,11955437,57270,20811712,120769,81,2254,98
8/24/14,30422,11985859,65005,20876717,120884,115,2528,125
8/25/14,36244,12022103,60866,20937583,121050,166,1007,146
8/26/14,37937,12060040,62487,21000070,121157,107,937,124
8/27/14,36900,12096940,61488,21061558,121292,135,829,83
8/28/14,37055,12133995,62402,21123960,121423,131,982,83
8/29/14,34292,12168287,59371,21183331,121522,99,1329,109
8/30/14,25239,12193526,52782,21236113,121610,88,2442,99
8/31/14,20097,12213623,41594,21277707,121690,80,1952,89
9/1/14,26055,12239678,51270,21328977,121809,119,2083,105
9/2/14,34005,12273683,53842,21382819,121979,170,693,121
9/3/14,38998,12312681,62736,21445555,122124,145,789,148
9/4/14,40022,12352703,64563,21510118,122248,124,816,125
9/5/14,38325,12391028,64421,21574539,122356,108,1111,121
9/6/14,28290,12419318,51519,21626058,122438,82,1674,105
9/7/14,32524,12451842,65394,21691452,122555,117,2222,115
9/8/14,38091,12489933,60610,21752062,122697,142,818,118
9/9/14,38101,12528034,59026,21811088,122818,121,620,99
9/10/14,41634,12569668,69561,21880649,122915,97,981,104
9/11/14,40864,12610532,65798,21946447,123006,91,844,90
9/12/14,41341,12651873,75561,22022008,123111,105,1195,103
9/13/14,19110,12670983,31600,22053608,123192,81,842,67
9/14/14,31589,12702572,62963,22116571,123309,117,2290,117
9/15/14,39044,12741616,64983,22181554,123421,112,858,118
9/16/14,28285,12769901,43250,22224804,123521,100,484,61
9/17/14,41347,12811248,67758,22292562,123636,115,916,121
9/18/14,41145,12852393,67840,22360402,123718,82,887,115
9/19/14,38162,12890555,62500,22422902,123796,78,979,90
9/20/14,32951,12923506,64838,22487740,123850,54,2464,122
9/21/14,28530,12952036,54319,22542059,123926,76,1693,90
9/22/14,36624,12988660,59024,22601083,124044,118,748,84
9/23/14,40105,13028765,66590,22667673,124124,80,841,106
9/24/14,38976,13067741,62834,22730507,124230,106,719,100
9/25/14,18282,13086023,26019,22756526,124291,61,165,24
9/26/14,38394,13124417,66227,22822753,124376,85,1297,118
9/27/14,33322,13157739,69724,22892477,124433,57,2712,118
9/28/14,32080,13189819,64811,22957288,124532,99,2259,129
9/29/14,36896,13226715,59305,23016593,124645,113,689,114
9/30/14,39061,13265776,59970,23076563,124734,89,613,65Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
10/1/14,31197,13296973,44612,23121175,124846,112,330,48
10/2/14,38286,13335259,60639,23181814,124959,113,602,86
10/3/14,38956,13374215,65739,23247553,125024,65,1276,107
10/4/14,15088,13389303,24254,23271807,125058,34,617,26
10/5/14,26247,13415550,48930,23320737,125109,51,1470,90
10/6/14,35651,13451201,56380,23377117,125203,94,710,99
10/7/14,36931,13488132,58740,23435857,125262,59,593,81
10/8/14,37870,13526002,60594,23496451,125354,92,667,86
10/9/14,36427,13562429,57865,23554316,125407,53,709,71
10/10/14,34690,13597119,54690,23609006,125464,57,905,78
10/11/14,14805,13611924,23278,23632284,125487,23,528,34
10/12/14,26259,13638183,52781,23685064,125529,42,2083,80
10/13/14,25616,13663799,40275,23725339,125589,60,749,60
10/14/14,36529,13700328,61691,23787030,125651,62,869,101
10/15/14,31784,13732112,49319,23836349,125703,52,506,82
10/16/14,29845,13761957,47808,23884157,125763,60,499,61
10/17/14,37759,13799716,64389,23948545,125816,53,1180,105
10/18/14,27634,13827350,52554,24001099,125865,49,1806,63
10/19/14,21017,13848367,35039,24036139,125914,49,1000,57
10/20/14,30928,13879295,48030,24084168,125968,54,514,74
10/21/14,34710,13914005,53960,24138128,126008,40,539,90
10/22/14,10402,13924407,13894,24152022,126037,29,110,30
10/23/14,14886,13939293,20446,24172468,126062,25,74,19
10/24/14,33022,13972315,51151,24223619,126086,24,722,84
10/25/14,27802,14000117,53881,24277499,126117,31,2093,83
10/26/14,23077,14023194,41308,24318808,126166,49,1220,71
10/27/14,31908,14055122,49892,24368754,126229,63,519,73
10/28/14,36429,14091551,56602,24425356,126395,166,628,79
10/29/14,32944,14124495,48378,24473733,126460,65,466,70
10/30/14,34658,14159153,52162,24525895,126487,27,557,61
10/31/14,30787,14189940,46834,24572729,126503,16,653,75
11/1/14,6739,14196679,8703,24581432,126514,11,98,10
11/2/14,15730,14212409,23106,24604538,126527,13,480,44
11/3/14,29590,14241999,45368,24649906,126557,30,568,51
11/4/14,34612,14276611,54306,24704213,126579,22,665,80
11/5/14,33764,14310375,52464,24756677,126611,32,513,49
11/6/14,13882,14324257,18743,24775420,126627,16,98,12
11/7/14,28053,14352310,40163,24815583,126647,20,416,45
11/8/14,19372,14371682,31589,24847172,126659,12,878,40
11/9/14,20225,14391907,34251,24881423,126675,16,952,44
11/10/14,30616,14422523,46768,24928191,126700,25,607,46
11/11/14,32312,14454835,49461,24977651,126719,19,599,41
11/12/14,30830,14485665,45234,25022886,126747,28,325,36
11/13/14,22798,14508463,32395,25055281,126770,23,252,21
11/14/14,23452,14531915,33240,25088520,126783,13,242,28
11/15/14,15403,14547318,23774,25112295,126797,14,522,16
11/16/14,14544,14561862,20645,25132940,126811,14,319,20
11/17/14,8944,14570806,11294,25144234,126823,12,25,8
11/18/14,18436,14589242,23704,25167938,126834,11,78,26
11/19/14,18211,14607453,24052,25191989,126847,13,102,17
11/20/14,22682,14630135,30878,25222867,126858,11,160,20
11/21/14,19582,14649717,25533,25248400,126865,7,131,24
11/22/14,13838,14663555,20211,25268611,126875,10,345,9
11/23/14,17012,14680567,27503,25296114,126886,11,628,26
11/24/14,25007,14705574,37873,25333986,126894,8,374,45
11/25/14,27889,14733463,39495,25373481,126904,10,365,27
11/26/14,4064,14737527,4997,25378478,126908,4,14,1
11/27/14,4331,14741858,5954,25384432,126911,3,74,10
11/28/14,9157,14751015,12743,25397175,126918,7,209,8
11/29/14,8974,14759989,12808,25409983,126924,6,235,14
11/30/14,13612,14773601,21244,25431227,126937,13,449,25
12/1/14,20398,14793999,29977,25461204,126956,19,281,20
12/2/14,16961,14810960,22343,25483547,126970,14,45,24
12/3/14,15078,14826038,23083,25506630,126978,8,65,6
12/4/14,23442,14849480,33077,25539707,126986,8,191,14
12/5/14,17289,14866769,23200,25562908,126992,6,153,12
12/6/14,4487,14871256,5787,25568695,127004,12,59,5
12/7/14,11404,14882660,16007,25584702,127012,8,254,13
12/8/14,17015,14899675,21665,25606367,127024,12,60,11
12/9/14,7322,14906997,9458,25615825,127031,7,18,4
12/10/14,11476,14918473,14590,25630415,127036,5,23,5
12/11/14,19840,14938313,27417,25657832,127041,5,144,19
12/12/14,19393,14957706,25689,25683521,127046,5,151,13
12/13/14,13760,14971466,21276,25704797,127050,4,324,20
12/14/14,13255,14984721,19351,25724148,127058,8,326,20
12/15/14,21306,15006027,29232,25753380,127065,7,186,25
12/16/14,18653,15024680,25116,25778496,127075,10,119,19
12/17/14,22350,15047030,30878,25809373,127085,10,186,18
12/18/14,20679,15067709,27451,25836824,127093,8,119,14
12/19/14,18696,15086405,24828,25861652,127104,11,158,14
12/20/14,10628,15097033,13747,25875399,127116,12,145,7
12/21/14,9582,15106615,12740,25888139,127126,10,170,9
12/22/14,14849,15121464,20321,25908460,127138,12,156,17
12/23/14,10405,15131869,13946,25922406,127146,8,68,9
12/24/14,4716,15136585,6183,25928589,127155,9,36,7
12/25/14,5354,15141939,11023,25939612,127165,10,"	456	41",undefined
12/26/14,10775,15152714,17715,25957327,127183,18,464,63
12/27/14,11128,15163842,21130,25978457,127196,"13	741",58,undefined
12/28/14,8719,15172561,12978,25991435,127222,26,326,23
12/29/14,14763,15187324,22499,26013934,127244,"22	363",37,undefined
12/30/14,13277,15200601,18112,26032046,127258,14,214,31
12/31/14,10450,15211051,14560,26046606,127269,11,216,12Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
1/1/15,5792,15216843,9191,26055797,127279,267,11
1/2/15,12371,15229214,18222,26074019,127293,298,8
1/3/15,4834,15234048,6282,26080301,127300,96,7
1/4/15,8509,15242557,11700,26092001,127308,152,5
1/5/15,15792,15258349,20022,26112023,127336,88,12
1/6/15,9483,15267832,12003,26124026,127354,2,1
1/7/15,10685,15278517,12791,26136817,127363,5,1
1/8/15,9777,15288294,11667,26148484,127372,18,0
1/9/15,8631,15296925,11093,26159577,127376,16,2
1/10/15,6826,15303751,8189,26167766,127383,51,3
1/11/15,8204,15311955,10199,26177965,127395,68,8
1/12/15,9441,15321396,11589,26189554,127408,27,2
1/13/15,14134,15335530,17429,26206983,127418,23,10
1/14/15,14396,15349926,18105,26225088,127427,43,7
1/15/15,15463,15365389,19803,26244891,127434,64,8
1/16/15,15059,15380448,19084,26263975,127441,94,14
1/17/15,8243,15388691,10818,26274793,127453,152,3
1/18/15,2038,15390729,2435,26277228,127461,12,0
1/19/15,11913,15402642,15733,26292961,127470,124,11
1/20/15,17615,15420257,22740,26315701,127502,93,9
1/21/15,16734,15436991,21228,26336929,127520,67,16
1/22/15,17435,15454426,22630,26359559,127530,74,9
1/23/15,17080,15471506,22248,26381807,127545,95,14
1/24/15,5275,15476781,6723,26388530,127552,41,2
1/25/15,10235,15487016,14421,26402951,127559,202,4
1/26/15,4537,15491553,5979,26408930,127566,15,0
1/27/15,1405,15492958,2343,26411273,127569,36,1
1/28/15,6223,15499181,9907,26421180,127575,12,2
1/29/15,9845,15509026,14171,26435351,127586,31,3
1/30/15,9943,15518969,12945,26448296,127595,21,6
1/31/15,5752,15524721,7328,26455624,127596,38,2
2/1/15,7214,15531935,9186,26464810,127608,72,8
2/2/15,1686,15533621,2635,26467445,127608,6,0
2/3/15,5443,15539064,7816,26475261,127612,5,1
2/4/15,9854,15548918,13775,26489036,127624,27,1
2/5/15,9977,15558895,12607,26501643,127630,13,1
2/6/15,9334,15568229,11948,26513591,127635,26,4
2/7/15,7346,15575575,10045,26523636,127640,83,7
2/8/15,7180,15582755,9671,26533307,127642,65,7
2/9/15,5717,15588472,7234,26540541,127646,10,3
2/10/15,11289,15599761,14526,26555067,127652,36,5
2/11/15,12453,15612214,16204,26571271,127657,46,12
2/12/15,12651,15624865,16248,26587519,127667,45,4
2/13/15,8595,15633460,10773,26598292,127674,28,2
2/14/15,5124,15638584,6392,26604684,127678,54,2
2/15/15,2837,15641421,3289,26607973,127681,12,0
2/16/15,4500,15645921,5423,26613396,127682,19,2
2/17/15,5289,15651210,6869,26620265,127683,14,2
2/18/15,10001,15661211,12995,26633260,127693,35,6
2/19/15,8485,15669696,10080,26643340,127696,14,0
2/20/15,6825,15676521,8056,26651396,127700,14,3
2/21/15,3453,15679974,4164,26655560,127701,24,5
2/22/15,4654,15684628,6648,26662208,127706,55,4
2/23/15,8343,15692971,10519,26672727,127714,11,8
2/24/15,8483,15701454,10675,26683402,127729,12,1
2/25/15,12057,15713511,15655,26699057,127739,49,5
2/26/15,11047,15724558,14744,26713801,127747,26,7
2/27/15,10861,15735419,14313,26728114,127753,57,10
2/28/15,6836,15742255,8975,26737089,127754,71,3
3/1/15,3169,15745424,4042,26741131,127763,37,4
3/2/15,8019,15753443,10767,26751898,127770,27,3
3/3/15,7178,15760621,9430,26761328,127775,18,2
3/4/15,8265,15768886,10842,26772170,127779,28,4
3/5/15,1821,15770707,2604,26774774,127784,4,0
3/6/15,5953,15776660,8248,26783022,127792,19,6
3/7/15,6255,15782915,8849,26791871,127799,96,9
3/8/15,8711,15791626,13701,26805572,127819,245,16
3/9/15,16365,15807991,24159,26829731,127852,218,24
3/10/15,13080,15821071,17626,26847357,127886,126,17
3/11/15,21728,15842799,33446,26880803,127936,386,29
3/12/15,19246,15862045,26931,26907734,127977,195,22
3/13/15,17850,15879895,24699,26932433,128023,239,27
3/14/15,4302,15884197,5592,26938025,128041,60,5
3/15/15,9676,15893873,13635,26951660,128071,260,31
3/16/15,18476,15912349,26091,26977751,128108,273,35
3/17/15,16287,15928636,22462,27000213,128143,178,21
3/18/15,15050,15943686,11465,27011678,128169,110,15
3/19/15,16699,15960385,16176,27027854,128191,150,14
3/20/15,8786,15969171,11465,27039319,128204,58,6
3/21/15,10236,15979407,16176,27055495,128216,367,23
3/22/15,10638,15990045,16098,27071593,128249,381,10
3/23/15,14669,16004714,18957,27090550,128287,111,25
3/24/15,17532,16022246,23581,27114131,128313,168,34
3/25/15,15851,16038097,21456,27135587,128347,136,22
3/26/15,16193,16054290,22876,27158463,128385,125,25
3/27/15,15433,16069723,21520,27179983,128417,188,19
3/28/15,1255,16070978,1562,27181545,128431,10,2
3/29/15,10585,16081563,17373,27198918,128485,473,27
3/30/15,19250,16100813,26828,27225746,128527,244,53
3/31/15,15199,16116012,20532,27246278,128576,122,38Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch),Miles traveled today (midnight to 11:59 pm),Miles traveled to date,Total Annual Memberships Sold,24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
4/1/15,21566,16137578,31708,27277986,128629,325,34
4/2/15,26346,16163924,43134,27321120,128698,864,65
4/3/15,15978,16179902,23643,27344763,128735,365,27
4/4/15,15538,16195440,27764,27372527,128783,1029,46
4/5/15,14962,16210402,29709,27402236,128846,1208,52
4/6/15,25502,16235904,43529,27445765,128940,1065,73
4/7/15,17640,16253544,24209,27469974,129003,270,33
4/8/15,19223,16272767,26004,27495978,129047,276,30
4/9/15,17723,16290490,23891,27519869,129081,163,20
4/10/15,17648,16308138,25628,27545497,129124,289,37
4/11/15,20451,16328589,39786,27585283,129193,1600,59
4/12/15,21851,16350440,46764,27632047,129273,1951,87
4/13/15,26980,16377420,43753,27675800,129377,603,73
4/14/15,24452,16401872,36555,27712355,129451,334,53
4/15/15,30184,16432056,49727,27762082,129541,733,84
4/16/15,29273,16461329,45915,27807997,129639,617,57
4/17/15,26164,16487493,42203,27850200,129717,671,81
4/18/15,31024,16518517,71371,27921571,129802,3685,138
4/19/15,23444,16541961,46416,27967987,129901,1851,103
4/20/15,12080,16554041,16377,27984364,129974,96,23
4/21/15,27057,16581098,43508,28027872,130039,608,88
4/22/15,23893,16604991,35999,28063871,130109,374,51
4/23/15,23886,16628877,34259,28098130,130168,311,61
4/24/15,22605,16651482,32678,28130808,130211,421,37
4/25/15,22963,16674445,46054,28176862,130293,2095,85
4/26/15,23608,16698053,48664,28225526,130378,1999,128
4/27/15,27657,16725710,43197,28268723,130486,609,99
4/28/15,32481,16758191,54129,28322852,130575,893,98
4/29/15,34427,16792618,59166,28382018,130671,1087,150
4/30/15,31756,16824374,51077,28433095,130745,785,102
5/1/15,30345,16854719,48736,28481831,130840,917,106
5/2/15,28295,16883014,60188,28542019,130899,2799,138
5/3/15,30446,16913460,69728,28611747,130992,3361,154
5/4/15,35115,16948575,63531,28675278,131145,1397,191
5/5/15,35990,16984565,60088,28735366,131284,987,145
5/6/15,32788,17017353,50987,28786353,131366,712,90
5/7/15,37762,17055115,64189,28850542,131496,1271,133
5/8/15,37206,17092321,64255,28914797,131607,1596,170
5/9/15,26813,17119134,51941,28966738,131677,2077,158
5/10/15,28962,17148096,62364,29029102,131752,2444,189
5/11/15,35068,17183164,57873,29086975,131884,1084,198
5/12/15,38186,17221350,62939,29149914,131979,1103,179
5/13/15,36162,17257512,57091,29207005,132074,891,119
5/14/15,44429,17301941,80286,29287291,132158,4927,82
5/15/15,37687,17339628,64660,29351951,132225,1665,181
5/16/15,26142,17365770,50862,29402813,132293,2392,155
5/17/15,34006,17399776,73458,29476271,132357,3499,189
5/18/15,33527,17433303,53794,29530065,132470,1031,129
5/19/15,36272,17469575,58026,29588091,132561,943,177
5/20/15,36020,17505595,57290,29645381,132643,923,100
5/21/15,33076,17538671,50277,29695658,132711,746,105
5/22/15,33898,17572569,58351,29754009,132765,1356,150
5/23/15,25985,17598554,56999,29811008,132798,2967,166
5/24/15,27400,17625954,66211,29877219,132839,3689,156
5/25/15,30636,17656590,69099,29946318,132914,3392,221
5/26/15,38282,17694872,64504,30010822,133006,1202,188
5/27/15,35952,17730824,57511,30068333,133080,879,124
5/28/15,38291,17769115,61662,30129995,133153,1014,144
5/29/15,40179,17809294,69343,30199338,133217,1648,134
5/30/15,33503,17842797,69481,30268819,133265,3082,192
5/31/15,21196,17863993,40580,30309399,133339,1606,105
6/1/15,16079,17880072,20369,30329768,133401,162,41
6/2/15,12706,17892778,15730,30345498,133453,75,35
6/3/15,36345,17929123,58749,30404247,133535,1129,143
6/4/15,34390,17963513,52792,30457039,133598,806,147
6/5/15,32861,17996374,51079,30508118,133641,959,117
6/6/15,27910,18024284,55613,30563731,133687,2457,144
6/7/15,32881,18057165,71994,30635725,133752,3295,169
6/8/15,35453,18092618,58140,30693865,133832,1045,168
6/9/15,37322,18129940,59489,30753354,133896,889,140
6/10/15,41386,18171326,69035,30822389,133964,1223,140
6/11/15,39083,18210409,62993,30885382,134041,1060,137
6/12/15,36801,18247210,60933,30946315,134109,1374,131
6/13/15,31772,18278982,67103,31013418,134156,3045,168
6/14/15,29829,18308811,62977,31076395,134220,2633,192
6/15/15,26533,18335344,38705,31115100,134279,575,122
6/16/15,33832,18369176,52864,31167964,134345,798,151
6/17/15,40009,18409185,65208,31233172,134414,1145,160
6/18/15,37326,18446511,56562,31289734,134468,792,144
6/19/15,39350,18485861,66914,31356648,134516,1543,143
6/20/15,24937,18510798,45872,31402520,134548,1747,125
6/21/15,27486,18538284,55513,31458033,134602,2295,140
6/22/15,39758,18578042,66659,31524692,134676,1282,202
6/23/15,34182,18612224,52805,31577497,134743,824,147
6/24/15,43484,18655708,73125,31650622,134818,1270,189
6/25/15,41618,18697326,68362,31718984,134859,1166,135
6/26/15,40599,18737925,68529,31787513,134908,1579,182
6/27/15,16271,18754196,28233,31815746,134935,1143,65
6/28/15,21588,18775784,42273,31858019,134975,1610,101
6/29/15,39785,18815569,69309,31927328,135065,1452,196
6/30/15,39839,18855408,65564,31992892,135136,1220,156Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
7/1/15,39019,18894427,64472,32057364,135204,1251,142
7/2/15,36962,18931389,62434,32119798,135247,1411,175
7/3/15,27821,18959210,58884,32178682,135294,2818,173
7/4/15,22347,18981557,53110,32231792,135326,3036,130
7/5/15,26708,19008265,61185,32292977,135384,2829,180
7/6/15,36174,19044439,62539,32355516,135470,1287,224
7/7/15,37930,19082369,63163,32418679,135548,1071,200
7/8/15,35900,19118269,57751,32476430,135594,823,139
7/9/15,32734,19151003,52402,32528832,135646,900,122
7/10/15,39687,19190690,71490,32600322,135704,1724,143
7/11/15,32620,19223310,69705,32670027,135755,3190,178
7/12/15,31853,19255163,68158,32738185,135809,2875,166
7/13/15,39586,19294749,67998,32806250,135890,1273,238
7/14/15,36671,19331420,58900,32865150,135966,754,145
7/15/15,35855,19367275,57781,32922931,136023,873,111
7/16/15,43302,19410577,76535,32999466,136092,1676,197
7/17/15,40782,19451359,73884,33073350,136144,1815,161
7/18/15,29619,19480978,61739,33135089,136188,2800,165
7/19/15,29332,19510310,61512,33196601,136244,2709,169
7/20/15,35960,19546270,59568,33256169,136315,1052,205
7/21/15,39557,19585827,66191,33322360,136379,1234,170
7/22/15,43602,19629429,75758,33398118,136460,1363,179
7/23/15,43319,19672748,75512,33473630,136528,1404,166
7/24/15,41201,19713949,72841,33546471,136594,1778,174
7/25/15,32458,19746407,73133,33619604,136655,3535,148
7/26/15,31325,19777732,66278,33685882,136721,2889,171
7/27/15,39602,19817334,67841,33753723,136818,1232,230
7/28/15,41321,19858655,69131,33822854,136901,1245,181
7/29/15,40267,19898922,66299,33889153,136979,1085,153
7/30/15,31878,19930800,50297,33939450,137044,785,108
7/31/15,39360,19970160,69897,34009347,137109,1723,177
8/1/15,36088,20006248,84287,34093634,137654,4286,234
8/2/15,32482,20038730,72633,34166267,137738,3189,204
8/3/15,39912,20078642,69232,34235499,137833,1400,230
8/4/15,41672,20120314,71146,34306645,137913,1393,168
8/5/15,42149,20162463,71111,34377756,138024,1357,160
8/6/15,43455,20205918,74669,34452425,138142,1498,170
8/7/15,41967,20247885,74844,34527269,138224,1862,154
8/8/15,39866,20287751,95931,34623200,138366,5101,205
8/9/15,33654,20321405,78144,34701344,138455,3425,177
8/10/15,40718,20362123,74754,34776575,138644,1518,228
8/11/15,25692,20387815,42534,34819109,138756,622,107
8/12/15,44145,20431960,80366,34899475,138895,1458,196
8/13/15,43174,20475134,78784,34978259,139042,1479,155
8/14/15,40903,20516037,72319,35050578,139172,1778,195
8/15/15,38777,20554814,92390,35142968,139377,4773,226
8/16/15,30337,20585151,65629,35208597,139514,2720,179
8/17/15,37446,20622597,64425,35273022,139712,1285,180
8/18/15,39913,20662510,67805,35340827,139882,1163,158
8/19/15,40721,20703231,69834,35410661,140076,1266,151
8/20/15,39275,20742506,66772,35477433,140222,1275,140
8/21/15,38033,20780539,66202,35543635,140392,1572,160
8/22/15,34269,20814808,77058,35620693,140516,3632,190
8/23/15,33059,20847867,71456,35692149,140725,2960,178
8/24/15,38676,20886543,68193,35760342,140971,1253,182
8/25/15,41052,20927595,71734,35832076,141218,1224,178
8/26/15,42373,20969968,73578,35905654,141423,1247,159
8/27/15,42801,21012769,74735,35980389,141674,1333,161
8/28/15,41418,21054187,74240,36054629,141943,1774,160
8/29/15,34053,21088240,74840,36129469,142169,3470,197
8/30/15,32581,21120821,68990,36198459,142496,2902,189
8/31/15,40043,21160864,67836,36266295,143057,1197,194
9/1/15,43069,21203933,72939,36339234,143239,1199,185
9/2/15,43004,21246937,72983,36412217,143424,1244,162
9/3/15,42462,21289399,71265,36483482,143581,1251,193
9/4/15,39572,21328971,70681,36554163,143722,1843,211
9/5/15,33669,21362640,77956,36632119,143854,4271,228
9/6/15,32875,21395515,82123,36714242,143962,4571,200
9/7/15,33280,21428795,75257,36789499,144160,3501,155
9/8/15,42344,21471139,71591,36861090,144402,1138,208
