Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
7/5/13,25541,805337,53.419,"1,788,629",54507,434,2803,215
7/6/13,23697,829034,53.761,"1,842,391",54843,336,3178,172
7/7/13,23688,852722,50.634,"1,893,025",55284,441,2703,186
7/8/13,26063,878785,49.831,"1,942,856",55971,687,1453,321
7/9/13,30929,909714,55.499,"1,998,355",56610,639,1379,287
7/10/13,30705,940419,55.948,"2,054,304",57194,584,1435,223
7/11/13,29689,970108,56.393,"2,110,697",57725,531,1478,196
7/12/13,22817,992925,39.97,"2,150,667",58133,408,1096,118
7/13/13,30132,1023057,64.833,"2,215,501",58495,362,3285,213
7/14/13,33545,1056602,75.02,"2,290,520",58954,459,3681,224
7/15/13,32565,1089167,57.755,"2,348,275",59593,639,1382,273
7/16/13,34757,1123924,61.856,"2,410,132",60129,536,1288,251
7/17/13,35172,1159096,60.698,"2,470,829",60619,490,1303,201
7/18/13,33222,1192318,56.228,"2,527,057",61008,389,1094,143
7/19/13,30667,1222985,52.784,"2,579,841",61366,358,1389,164
7/20/13,29145,1252130,58.799,"2,638,640",61652,286,2811,169
7/21/13,34694,1286824,76.31,"2,714,950",62074,422,3502,191
7/22/13,29787,1316611,50.145,"2,765,095",62577,503,1005,184
7/23/13,37296,1353907,65.911,"2,831,006",63026,449,1390,220
7/24/13,40699,1394606,74.469,"2,905,475",63466,440,1708,211
7/25/13,36207,1430813,62.188,"2,967,663",63822,356,1163,144
7/26/13,39499,1470312,72.71,"3,040,373",64182,360,2073,176
7/27/13,37131,1507443,82.27,"3,122,643",64495,313,4259,197
7/28/13,26780,1534223,53.562,"3,176,204",64884,389,2391,137
7/29/13,40018,1574241,73.425,"3,249,630",65381,497,1712,275
7/30/13,42982,1617223,77.917,"3,327,547",65855,474,1701,237
7/31/13,42745,1659968,76.982,"3,404,528",66310,455,1692,186
8/1/13,23025,1682993,34.794,"3,439,323",66644,334,415,73
8/2/13,40654,1723647,75.39,"3,514,713",67027,383,2302,230
8/3/13,34173,1757820,73.3,"3,588,013",67293,266,3417,180
8/4/13,40103,1797923,93.191,"3,681,204",67685,392,4547,261
8/5/13,41759,1839682,78.764,"3,759,968",68242,557,1924,276
8/6/13,42974,1882656,79.262,"3,839,230",68744,502,1778,222
8/7/13,39120,1921776,66.709,"3,905,939",69137,393,1261,183
8/8/13,32063,1953839,51.665,"3,957,604",69436,299,946,137
8/9/13,32926,1986765,54.952,"4,012,556",69722,286,1269,134
8/10/13,43368,2030133,103.744,"4,116,300",69996,274,5567,223
8/11/13,37161,2067294,83.004,"4,199,304",70368,372,3826,234
8/12/13,35646,2102940,62.896,"4,262,200",70799,431,1314,257
8/13/13,25569,2128509,44.374,"4,306,574",71121,322,787,111
8/14/13,43437,2171946,78.481,"4,385,055",71481,360,1727,219
8/15/13,42922,2214868,76.299,"4,461,354",71862,381,1733,179
8/16/13,41251,2256119,77.044,"4,538,398",72207,345,2085,170
8/17/13,44284,2300403,104.29,"4,642,688",72471,264,5729,217
8/18/13,31512,2331915,62.738,"4,705,426",72846,375,2524,160
8/19/13,37922,2369837,65.704,"4,771,130",73299,453,1395,236
8/20/13,41155,2410992,72.697,"4,843,827",73703,404,1491,233
8/21/13,41718,2452710,73.198,"4,917,024",74080,377,1365,176
8/22/13,30747,2483457,51.255,"4,968,280",74400,320,787,128
8/23/13,38716,2522173,72.175,"5,040,455",74713,313,1965,157
8/24/13,38049,2560222,81.052,"5,121,507",75012,299,3933,194
8/25/13,36641,2596863,80.733,"5,202,240",75372,360,3626,199
8/26/13,34812,2631675,61.473,"5,263,713",75756,384,1098,190
8/27/13,39258,2670933,67.086,"5,330,798",76123,367,1222,188
