,24-Hour Passes Purchased (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm)	7-Day Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Annual Member Sign-Ups (midnight to 11:59 pm),Cumulative trips (since launch),Cumulative trips (since launch):,Date,Miles traveled to date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members,Total Annual Members (All Time),Total Annual Memberships Sold,Trips over the past 24-hours (midnight to 11:59pm)
12,5013,,,230,784,,151153,6/8/13,,"371,473",54.665,35233.0,,,19899
13,5772,,,275,1062,,174389,6/9/13,,"443,077",71.604,36295.0,,,23236
14,290,,,82,791,,178893,6/10/13,,"453,215",10.138,37086.0,,,4504
15,1836,,,273,808,,193531,6/11/13,,"487,845",34.63,37894.0,,,14638
16,2767,,,316,911,,212491,6/12/13,,"533,559",45.714,38805.0,,,18960
17,701,,,119,637,,221273,6/13/13,,"548,634",15.075,39442.0,,,8782
18,2268,,,211,636,,237696,6/14/13,,"582,614",33.98,40078.0,,,16423
19,6107,,,319,624,,264972,6/15/13,,"655,406",72.792,40702.0,,,27276
20,4413,,,314,839,,288582,6/16/13,,"714,979",59.573,41541.0,,,23610
21,2378,,,530,1023,,309860,6/17/13,,"758,876",43.897,42564.0,,,21278
22,1236,,,277,830,,324686,6/18/13,,"786,546",27.67,43394.0,,,14826
23,2678,,,607,829,,350953,6/19/13,,"840,951",54.405,44223.0,,,26267
24,2814,,,421,801,,379947,6/20/13,,"900,886",59.935,45024.0,,,28994
25,3465,,,408,791,,410607,6/21/13,,"965,759",64.872,45815.0,,,30660
26,5902,,,383,633,,442492,6/22/13,,"1,046,191",80.433,46448.0,,,31885
27,4959,,,279,755,,473145,6/23/13,,"1,122,641",76.45,47203.0,,,30653
28,1844,,,386,932,,499781,6/24/13,,"1,173,305",50.663999999999994,48135.0,,,26636
29,1937,,,343,780,,530207,6/25/13,,"1,229,380",56.075,48915.0,,,30426
30,2000,,,301,750,,562529,6/26/13,,"1,289,043",59.663000000000004,49665.0,,,32322
31,1680,,,223,690,,590623,6/27/13,,"1,344,304",55.26,50355.0,,,28094
32,2268,,,291,674,,621218,6/28/13,,"1,402,340",58.037,51029.0,,,30595
33,4895,,,296,476,,654165,6/29/13,,"1,479,567",77.226,51505.0,,,32947
34,3592,,,178,620,,681450,6/30/13,,"1,540,619",61.052,52125.0,,,27285
35,846,,,167,597,,701601,7/1/13,,"1,576,787",36.168,52722.0,,,20151
36,1435,,,219,588,,728283,7/2/13,,"1,625,520",48.733000000000004,53310.0,,,26682
37,1419,,,189,438,,753792,7/3/13,,"1,671,537",46.016000000000005,53748.0,,,25509
38,4219,,,257,325,,779796,7/4/13,,"1,735,210",63.674,54073.0,,,26004
39,2803,,,215,434,,805337,7/5/13,,"1,788,629",53.419,54507.0,,,25541
40,3178,,,172,336,,829034,7/6/13,,"1,842,391",53.761,54843.0,,,23697
41,2703,,,186,441,,852722,7/7/13,,"1,893,025",50.63399999999999,55284.0,,,23688
42,1453,,,321,687,,878785,7/8/13,,"1,942,856",49.831,55971.0,,,26063
43,1379,,,287,639,,909714,7/9/13,,"1,998,355",55.498999999999995,56610.0,,,30929
44,1435,,,223,584,,940419,7/10/13,,"2,054,304",55.948,57194.0,,,30705
45,1478,,,196,531,,970108,7/11/13,,"2,110,697",56.393,57725.0,,,29689
46,1096,,,118,408,,992925,7/12/13,,"2,150,667",39.97,58133.0,,,22817
47,3285,,,213,362,,1023057,7/13/13,,"2,215,501",64.833,58495.0,,,30132
48,3681,,,224,459,,1056602,7/14/13,,"2,290,520",75.02,58954.0,,,33545
49,1382,,,273,639,,1089167,7/15/13,,"2,348,275",57.755,59593.0,,,32565
50,1288,,,251,536,,1123924,7/16/13,,"2,410,132",61.856,60129.0,,,34757
51,1303,,,201,490,,1159096,7/17/13,,"2,470,829",60.698,60619.0,,,35172
52,1094,,,143,389,,1192318,7/18/13,,"2,527,057",56.228,61008.0,,,33222
53,1389,,,164,358,,1222985,7/19/13,,"2,579,841",52.784,61366.0,,,30667
54,2811,,,169,286,,1252130,7/20/13,,"2,638,640",58.799,61652.0,,,29145
55,3502,,,191,422,,1286824,7/21/13,,"2,714,950",76.31,62074.0,,,34694
56,1005,,,184,503,,1316611,7/22/13,,"2,765,095",50.145,62577.0,,,29787
57,1390,,,220,449,,1353907,7/23/13,,"2,831,006",65.911,63026.0,,,37296
58,1708,,,211,440,,1394606,7/24/13,,"2,905,475",74.469,63466.0,,,40699
59,1163,,,144,356,,1430813,7/25/13,,"2,967,663",62.188,63822.0,,,36207
60,2073,,,176,360,,1470312,7/26/13,,"3,040,373",72.71,64182.0,,,39499
61,4259,,,197,313,,1507443,7/27/13,,"3,122,643",82.27,64495.0,,,37131
62,2391,,,137,389,,1534223,7/28/13,,"3,176,204",53.562,64884.0,,,26780
63,1712,,,275,497,,1574241,7/29/13,,"3,249,630",73.425,65381.0,,,40018
64,1701,,,237,474,,1617223,7/30/13,,"3,327,547",77.917,65855.0,,,42982
65,1692,,,186,455,,1659968,7/31/13,,"3,404,528",76.982,66310.0,,,42745
66,415,,,73,334,,1682993,8/1/13,,"3,439,323",34.794000000000004,66644.0,,,23025
67,2302,,,230,383,,1723647,8/2/13,,"3,514,713",75.39,67027.0,,,40654
68,3417,,,180,266,,1757820,8/3/13,,"3,588,013",73.3,67293.0,,,34173
69,4547,,,261,392,,1797923,8/4/13,,"3,681,204",93.191,67685.0,,,40103
70,1924,,,276,557,,1839682,8/5/13,,"3,759,968",78.764,68242.0,,,41759
71,1778,,,222,502,,1882656,8/6/13,,"3,839,230",79.262,68744.0,,,42974
72,1261,,,183,393,,1921776,8/7/13,,"3,905,939",66.709,69137.0,,,39120
73,946,,,137,299,,1953839,8/8/13,,"3,957,604",51.665,69436.0,,,32063
74,1269,,,134,286,,1986765,8/9/13,,"4,012,556",54.952,69722.0,,,32926
75,5567,,,223,274,,2030133,8/10/13,,"4,116,300",103.744,69996.0,,,43368
76,3826,,,234,372,,2067294,8/11/13,,"4,199,304",83.00399999999999,70368.0,,,37161
77,1314,,,257,431,,2102940,8/12/13,,"4,262,200",62.896,70799.0,,,35646
78,787,,,111,322,,2128509,8/13/13,,"4,306,574",44.373999999999995,71121.0,,,25569
79,1727,,,219,360,,2171946,8/14/13,,"4,385,055",78.48100000000001,71481.0,,,43437
80,1733,,,179,381,,2214868,8/15/13,,"4,461,354",76.29899999999999,71862.0,,,42922
81,2085,,,170,345,,2256119,8/16/13,,"4,538,398",77.044,72207.0,,,41251
82,5729,,,217,264,,2300403,8/17/13,,"4,642,688",104.29,72471.0,,,44284
83,2524,,,160,375,,2331915,8/18/13,,"4,705,426",62.738,72846.0,,,31512
84,1395,,,236,453,,2369837,8/19/13,,"4,771,130",65.704,73299.0,,,37922
85,1491,,,233,404,,2410992,8/20/13,,"4,843,827",72.697,73703.0,,,41155
86,1365,,,176,377,,2452710,8/21/13,,"4,917,024",73.19800000000001,74080.0,,,41718
87,787,,,128,320,,2483457,8/22/13,,"4,968,280",51.255,74400.0,,,30747
88,1965,,,157,313,,2522173,8/23/13,,"5,040,455",72.175,74713.0,,,38716
89,3933,,,194,299,,2560222,8/24/13,,"5,121,507",81.05199999999999,75012.0,,,38049
90,3626,,,199,360,,2596863,8/25/13,,"5,202,240",80.733,75372.0,,,36641
91,1098,,,190,384,,2631675,8/26/13,,"5,263,713",61.473,75756.0,,,34812
92,1222,,,188,367,,2670933,8/27/13,,"5,330,798",67.086,76123.0,,,39258
93,765,,,102,279,,2703195,8/28/13,,"5,384,254",53.456,76402.0,,,32262
94,1363,,,141,267,,2741821,8/29/13,,"5,450,171",65.917,76669.0,,,38626
95,1872,,,165,253,,2778691,8/30/13,,"5,517,420",67.249,76922.0,,,36870
96,3064,,,174,211,,2807238,8/31/13,,"5,577,469",60.049,77133.0,,,28547
97,3273,,,148,198,,2835568,9/1/13,,"5,638,565",61.096000000000004,77331.0,,,28330
98,1829,,,121,278,,2859662,9/2/13,,"5,684,625",46.06,77609.0,,,24094
99,1015,,,157,388,,2896625,9/3/13,,"5,747,431",62.806999999999995,77997.0,,,36963
100,1263,,,176,391,,2938710,9/4/13,,"5,821,132",73.70100000000001,78388.0,,,42085
101,1354,,,185,338,,2979527,9/5/13,,"5,891,676",70.544,78726.0,,,40817
102,1556,,,155,284,,3020457,9/6/13,,"5,963,800",72.124,79010.0,,,40930
103,3600,,,200,263,,3059407,9/7/13,,"6,043,881",80.08,79273.0,,,38950
104,3025,,,182,376,,3096943,9/8/13,,"6,120,207",76.32600000000001,79649.0,,,37536
105,1060,,,203,400,,3137482,9/9/13,,"6,190,920",70.71300000000001,80049.0,,,40539
106,986,,,182,301,,3179520,9/10/13,,"6,262,034",71.115,80350.0,,,42038
107,1046,,,147,295,,3220053,9/11/13,,"6,329,471",67.437,80645.0,,,40533
108,756,,,126,265,,3255118,9/12/13,,"6,385,918",56.446999999999996,80910.0,,,35065
109,1375,,,145,254,,3296318,9/13/13,,"6,456,767",70.84899999999999,81164.0,,,41200
110,3035,,,153,206,,3331681,9/14/13,,"6,525,948",69.18,81370.0,,,35363
111,3010,,,167,280,,3367524,9/15/13,,"6,598,498",72.551,81650.0,,,35843
112,781,,,149,320,,3402630,9/16/13,,"6,654,693",56.195,81970.0,,,35106
113,971,,,170,237,,3445747,9/17/13,,"6,725,540",70.847,82207.0,,,43117
114,1078,,,152,273,,3488683,9/18/13,,"6,796,896",71.355,82480.0,,,42936
115,1209,,,154,255,,3532603,9/19/13,,"6,870,554",73.65899999999999,82735.0,,,43920
116,1631,,,156,224,,3576498,9/20/13,,"6,945,648",75.094,82959.0,,,43895
117,3096,,,132,202,,3611846,9/21/13,,"7,015,969",70.321,83161.0,,,35348
118,2479,,,136,251,,3644951,9/22/13,,"7,080,726",64.758,83412.0,,,33105
119,1006,,,171,276,,3683914,9/23/13,,"7,144,883",64.157,83689.0,,,38963
120,1158,,,153,233,,3726868,9/24/13,,"7,215,286",70.402,83922.0,,,42954
121,966,,,133,208,,3769507,9/25/13,,"7,285,786",70.5,84130.0,,,42639
122,973,,,117,175,,3811754,9/26/13,,"7,354,431",68.646,84305.0,,,42247
123,1321,,,137,213,,3853122,9/27/13,,"7,423,409",68.977,84519.0,,,41368
124,3452,,,126,193,,3892061,9/28/13,,"7,501,809",78.4,84712.0,,,38939
125,2718,,,161,201,,3928101,9/29/13,,"7,572,461",70.652,84913.0,,,36040
126,1023,,,140,323,,3969180,9/30/13,,"7,639,629",67.168,85236.0,,,41079
