,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
25,10/26/17,64002.0,123419.0,250187.0,973.0,191.0,147,11/1/17 5:54,11/1/17 5:57,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,31760,Subscriber,1961.0,1
26,10/27/17,69265.0,139481.0,250319.0,1991.0,352.0,304,11/1/17 6:00,11/1/17 6:05,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73074263,-74.06378388,31926,Subscriber,1977.0,1
27,10/28/17,61345.0,143571.0,250499.0,4306.0,317.0,252,11/1/17 6:03,11/1/17 6:07,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,31868,Subscriber,1989.0,2
28,10/29/17,9537.0,20810.0,250556.0,213.0,8.0,219,11/1/17 6:03,11/1/17 6:07,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.718355200000005,-74.03891444,26214,Subscriber,1958.0,1
29,10/30/17,49246.0,95502.0,250681.0,771.0,121.0,441,11/1/17 6:07,11/1/17 6:14,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,31925,Subscriber,1980.0,1
30,10/31/17,60242.0,115329.0,250892.0,1076.0,166.0,607,11/1/17 6:08,11/1/17 6:19,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3183,Exchange Place,40.7162469,-74.0334588,31704,Subscriber,1960.0,1
31,11/1/17,60772.0,111304.0,250975.0,717.0,125.0,539,11/1/17 6:09,11/1/17 6:18,3193,Lincoln Park,40.724605100000005,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,31884,Subscriber,1984.0,1
32,11/2/17,70810.0,144455.0,251060.0,1485.0,291.0,88,11/1/17 6:11,11/1/17 6:12,3639,Harborside,40.71925170000001,-74.034234,3183,Exchange Place,40.7162469,-74.0334588,18533,Subscriber,,0
33,11/3/17,71817.0,147055.0,251163.0,2275.0,335.0,173,11/1/17 6:11,11/1/17 6:14,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31799,Subscriber,1973.0,1
34,11/4/17,53433.0,120119.0,251269.0,3086.0,243.0,235,11/1/17 6:11,11/1/17 6:15,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3275,Columbus Drive,40.718355200000005,-74.03891444,26192,Subscriber,1983.0,2
35,11/5/17,34943.0,76281.0,251349.0,1263.0,80.0,221,11/1/17 6:14,11/1/17 6:18,3639,Harborside,40.71925170000001,-74.034234,3202,Newport PATH,40.7272235,-74.03375890000001,31817,Subscriber,1993.0,2
36,11/6/17,57606.0,116318.0,251433.0,1052.0,133.0,335,11/1/17 6:14,11/1/17 6:20,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73074263,-74.06378388,31690,Subscriber,1958.0,1
37,11/7/17,36361.0,69588.0,251487.0,643.0,77.0,220,11/1/17 6:18,11/1/17 6:22,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,31684,Subscriber,1967.0,1
38,11/8/17,54211.0,107852.0,251537.0,597.0,95.0,205,11/1/17 6:19,11/1/17 6:23,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,31743,Subscriber,1977.0,2
39,11/9/17,58416.0,113119.0,251591.0,837.0,171.0,199,11/1/17 6:20,11/1/17 6:24,3205,JC Medical Center,40.71653978,-74.04963791,3211,Newark Ave,40.72152515,-74.04630454,31697,Subscriber,1982.0,2
40,11/10/17,38432.0,74794.0,251614.0,425.0,82.0,291,11/1/17 6:21,11/1/17 6:26,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31865,Subscriber,1983.0,1
41,11/11/17,28142.0,55350.0,251657.0,832.0,64.0,348,11/1/17 6:22,11/1/17 6:28,3212,Christ Hospital,40.73478582,-74.05044364,3195,Sip Ave,40.73074263,-74.06378388,31866,Subscriber,1995.0,1
42,11/12/17,32471.0,73187.0,251699.0,1191.0,62.0,1185,11/1/17 6:24,11/1/17 6:44,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3202,Newport PATH,40.7272235,-74.03375890000001,31716,Subscriber,1972.0,1
43,11/13/17,38752.0,72112.0,251751.0,314.0,47.0,247,11/1/17 6:24,11/1/17 6:28,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,31702,Subscriber,1992.0,2
44,11/14/17,52278.0,95328.0,251802.0,493.0,59.0,385,11/1/17 6:28,11/1/17 6:34,3184,Paulus Hook,40.7141454,-74.0335519,3481,York St,40.71649,-74.04105,31760,Subscriber,1991.0,1
45,11/15/17,54230.0,104590.0,251842.0,524.0,70.0,209,11/1/17 6:30,11/1/17 6:33,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,31908,Subscriber,1980.0,1
46,11/16/17,49737.0,93532.0,251884.0,521.0,74.0,327,11/1/17 6:30,11/1/17 6:36,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.718355200000005,-74.03891444,31829,Subscriber,1990.0,1
47,11/17/17,48989.0,93476.0,251928.0,712.0,74.0,345,11/1/17 6:32,11/1/17 6:38,3272,Jersey & 3rd,40.72333159,-74.04595256,3275,Columbus Drive,40.718355200000005,-74.03891444,26308,Subscriber,1983.0,2
48,11/18/17,27745.0,58136.0,251965.0,872.0,53.0,221,11/1/17 6:34,11/1/17 6:37,3187,Warren St,40.721123600000006,-74.03805095,3481,York St,40.71649,-74.04105,31864,Subscriber,1988.0,1
49,11/19/17,31597.0,66078.0,252008.0,1020.0,64.0,127,11/1/17 6:35,11/1/17 6:37,3269,Brunswick & 6th,40.72601173,-74.05038893,3270,Jersey & 6th St,40.72528911,-74.04557168,26249,Subscriber,1964.0,1
50,11/20/17,45120.0,85295.0,252041.0,501.0,49.0,242,11/1/17 6:35,11/1/17 6:39,3269,Brunswick & 6th,40.72601173,-74.05038893,3203,Hamilton Park,40.72759597,-74.04424731,31825,Subscriber,1979.0,1
51,11/21/17,52448.0,95288.0,252075.0,960.0,69.0,215,11/1/17 6:35,11/1/17 6:39,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,26274,Subscriber,1993.0,1
52,11/22/17,32297.0,69530.0,252103.0,458.0,64.0,454,11/1/17 6:36,11/1/17 6:43,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,31912,Subscriber,1970.0,1
53,11/23/17,13705.0,32527.0,252115.0,806.0,103.0,257,11/1/17 6:36,11/1/17 6:40,3269,Brunswick & 6th,40.72601173,-74.05038893,3203,Hamilton Park,40.72759597,-74.04424731,31687,Subscriber,1985.0,2
54,11/24/17,23723.0,64012.0,252151.0,1129.0,95.0,222,11/1/17 6:38,11/1/17 6:41,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31849,Subscriber,1985.0,1
55,11/25/17,30510.0,73542.0,252184.0,1995.0,85.0,153,11/1/17 6:38,11/1/17 6:41,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,29598,Subscriber,1965.0,1
